Timeslot,Temperature
146524,11.55
146629,11.59
146713,11.59
146827,11.59
146935,11.63
147049,11.63
147154,11.65
147256,11.63
147364,11.66
147448,11.68
147553,11.68
147658,11.7
147769,11.7
147877,11.7
147979,11.69
148087,11.69
148189,11.69
148312,11.72
148414,11.72
148504,11.73
148618,11.77
148732,11.77
148834,11.78
148933,11.8
149044,11.84
149146,11.81
149254,11.84
149359,11.86
149452,11.84
149557,11.84
149662,11.86
149773,11.87
149884,11.88
149971,11.9
150079,11.91
150181,11.91
150292,11.93
150397,11.93
150487,11.96
150598,11.98
150706,11.96
150814,11.98
150916,11.99
151018,11.98
151129,11.99
151231,11.99
151342,12.02
151432,12.03
151546,12.03
151657,12.06
151768,12.03
151876,12.03
151963,12.06
152074,12.06
152182,12.06
152293,12.08
152395,12.09
152488,12.12
152596,12.14
152704,12.14
152806,12.16
152911,12.16
153016,12.16
153121,12.16
153229,12.16
153340,12.19
153427,12.2
153538,12.21
153649,12.21
153757,12.23
153844,12.23
153958,12.23
154066,12.26
154177,12.27
154282,12.26
154387,12.28
154498,12.3
154600,12.3
154708,12.3
154801,12.3
154903,12.3
155014,12.31
155116,12.34
155224,12.34
155332,12.38
155443,12.36
155554,12.38
155641,12.38
155746,12.39
155851,12.39
155956,12.42
156061,12.41
156181,12.42
156289,12.45
156391,12.44
156487,12.42
156595,12.46
156697,12.46
156814,12.45
156919,12.45
157009,12.49
157129,12.52
157240,12.49
157342,12.53
157444,12.52
157552,12.53
157639,12.53
157741,12.54
157852,12.56
157960,12.54
158062,12.53
158173,12.56
158281,12.57
158392,12.59
158494,12.59
158599,12.59
158704,12.61
158797,12.64
158902,12.64
159016,12.64
159127,12.64
159220,12.64
159328,12.67
159439,12.65
159547,12.67
159646,12.67
159751,12.68
159847,12.7
159949,12.7
160063,12.73
160153,12.73
160258,12.73
160366,12.75
160480,12.75
160585,12.75
160690,12.78
160792,12.79
160897,12.78
161002,12.78
161116,12.8
161203,12.8
161314,12.82
161422,12.82
161530,12.85
161638,12.85
161746,12.85
161845,12.86
161941,12.87
162046,12.87
162157,12.85
162268,12.87
162382,12.9
162490,12.91
162580,12.93
162700,12.94
162811,12.93
162916,12.95
163003,12.97
163117,12.95
163219,12.97
163327,12.97
163441,12.98
163549,12.97
163633,12.98
163759,12.98
163846,13.01
163951,13.01
164062,12.98
164152,13.01
164281,13.03
164368,13.04
164476,13.03
164581,13.04
164674,13.05
164788,13.05
164893,13.08
165004,13.09
165112,13.11
165214,13.11
165304,13.11
165412,13.09
165514,13.12
165637,13.11
165727,13.13
165838,13.15
165940,13.13
166051,13.13
166156,13.16
166246,13.16
166357,13.19
166465,13.18
166570,13.19
166678,13.19
166786,13.19
166888,13.2
166993,13.22
167062,13.23
167212,13.25
167320,13.25
167401,13.25
167530,13.25
167617,13.27
167725,13.27
167827,13.28
167950,13.3
168043,13.31
168151,13.31
168259,13.31
168370,13.31
168457,13.33
168565,13.31
168679,13.33
168784,13.34
168895,13.34
168997,13.36
169111,13.36
169216,13.38
169303,13.36
169414,13.38
169522,13.4
169627,13.41
169732,13.41
169840,13.41
169951,13.43
170056,13.43
170143,13.43
170254,13.45
170362,13.45
170461,13.48
170566,13.46
170671,13.46
170779,13.48
170878,13.46
170995,13.48
171097,13.49
171184,13.49
171301,13.49
171409,13.51
171523,13.52
171625,13.52
171733,13.49
171817,13.52
171925,13.52
172030,13.53
172135,13.53
172240,13.55
172339,13.56
172453,13.56
172561,13.56
172669,13.56
172771,13.56
172882,13.59
172987,13.59
173092,13.61
173203,13.61
173305,13.59
173413,13.61
173503,13.61
173611,13.64
173719,13.66
173839,13.64
173941,13.66
174049,13.64
174154,13.67
174241,13.67
174352,13.67
174460,13.67
174574,13.69
174667,13.7
174766,13.7
174871,13.7
174988,13.71
175099,13.7
175204,13.71
175288,13.7
175396,13.73
175501,13.73
175606,13.73
175720,13.74
175810,13.73
175921,13.74
176029,13.76
176131,13.77
176251,13.77
176353,13.8
176443,13.77
176563,13.78
176650,13.8
176755,13.82
176866,13.82
176974,13.82
177082,13.84
177193,13.84
177292,13.85
177400,13.85
177502,13.88
177610,13.86
177709,13.88
177817,13.86
177907,13.88
178012,13.88
178138,13.91
178225,13.89
178336,13.89
178441,13.91
178546,13.91
178651,13.92
178762,13.92
178870,13.92
178972,13.92
179080,13.94
179164,13.95
179275,13.95
179377,13.96
179482,13.96
179587,13.96
179689,13.98
179815,13.98
179905,13.98
180031,13.98
180121,13.98
180223,13.99
180340,14.02
180448,14.04
180550,14.02
180652,14.04
180754,14.04
180859,14.04
180967,14.07
181078,14.04
181186,14.07
181291,14.07
181396,14.07
181492,14.1
181597,14.1
181711,14.1
181801,14.1
181912,14.11
182017,14.1
182128,14.12
182215,14.11
182323,14.14
182434,14.14
182539,14.14
182638,14.12
182746,14.15
182854,14.14
182962,14.15
183067,14.14
183169,14.14
183274,14.18
183379,14.17
183487,14.18
183601,14.2
183688,14.2
183796,14.2
183910,14.2
184018,14.2
184123,14.22
184213,14.22
184324,14.23
184423,14.23
184534,14.23
184639,14.25
184747,14.26
184855,14.25
184942,14.26
185065,14.28
185170,14.26
185263,14.29
185371,14.29
185485,14.28
185593,14.29
185701,14.28
185806,14.29
185893,14.3
185998,14.3
186106,14.3
186211,14.33
186322,14.32
186433,14.32
186520,14.33
186628,14.33
186733,14.35
186838,14.35
186946,14.33
187057,14.35
187147,14.35
187252,14.36
187357,14.36
187465,14.36
187582,14.36
187672,14.37
187774,14.36
187879,14.33
187990,14.36
188098,14.37
188206,14.37
188314,14.37
188419,14.37
188503,14.4
188614,14.4
188722,14.4
188824,14.4
188932,14.37
189037,14.4
189151,14.41
189241,14.41
189346,14.43
189454,14.41
189559,14.43
189661,14.43
189766,14.41
189880,14.44
189970,14.44
190081,14.44
190186,14.43
190291,14.44
190399,14.45
190486,14.44
190603,14.45
190708,14.45
190816,14.45
190924,14.45
191032,14.45
191137,14.47
191224,14.47
191332,14.47
191446,14.48
191548,14.48
191659,14.5
191767,14.48
191872,14.48
191959,14.51
192079,14.51
192169,14.51
192295,14.51
192397,14.54
192505,14.53
192589,14.53
192694,14.55
192805,14.53
192919,14.55
193024,14.55
193111,14.55
193216,14.55
193342,14.55
193429,14.58
193531,14.58
193642,14.58
193753,14.59
193858,14.6
193966,14.6
194077,14.6
194164,14.6
194266,14.62
194377,14.62
194482,14.62
194587,14.62
194698,14.62
194800,14.65
194902,14.63
195001,14.65
195115,14.65
195223,14.66
195310,14.66
195427,14.66
195538,14.69
195643,14.68
195751,14.68
195856,14.68
195958,14.69
196060,14.69
196162,14.7
196273,14.69
196375,14.7
196477,14.7
196582,14.7
196690,14.72
196795,14.73
