Timeslot,Temperature
141312,28.93
141414,28.93
141504,28.88
141615,28.91
141729,28.91
141816,28.93
141933,28.93
142035,28.93
142143,28.94
142254,28.94
142344,28.93
142458,28.94
142548,28.94
142659,28.94
142761,28.96
142863,28.97
142971,28.91
143076,28.91
143181,28.94
143286,28.96
143391,28.97
143490,28.96
143598,28.84
143700,28.84
143802,28.82
143913,28.82
144024,28.86
144129,28.88
144234,28.88
144321,28.91
144432,28.93
144537,28.94
144645,28.96
144753,28.93
144864,28.84
144966,28.89
145053,28.93
145161,28.91
145269,28.96
145356,28.94
145482,28.96
145587,28.97
145704,28.98
145791,28.97
145902,28.97
146010,28.97
146115,28.98
146226,28.98
146334,29.0
146442,29.0
146547,29.01
146637,29.01
146745,29.03
146856,28.98
146964,29.01
147066,29.03
147174,29.04
147285,29.04
147390,29.03
147492,29.06
147597,29.06
147705,29.07
147792,29.03
147897,29.03
148005,28.96
148113,28.97
148227,29.01
148314,29.03
148440,29.04
148545,29.04
148650,29.04
148755,29.04
148860,29.07
148965,29.07
149070,29.07
149175,29.07
149262,29.11
149373,29.09
149493,29.09
149595,29.11
149697,29.12
149805,29.12
149913,29.13
150021,29.13
150126,29.15
150213,29.13
150321,29.16
150426,29.13
150546,29.13
150651,29.15
150756,29.12
150858,29.13
150966,29.13
151071,29.15
151170,29.13
151275,29.13
151383,29.13
151476,29.15
151581,29.16
151704,29.12
151791,29.13
151896,29.15
152001,29.15
152115,29.15
152220,29.15
152322,29.16
152427,29.15
152535,29.16
152640,29.15
152751,29.16
152862,29.18
152949,29.18
153063,29.16
153165,29.16
153285,29.15
153387,29.16
153495,29.15
153579,29.15
153690,29.15
153795,29.13
153906,29.12
154017,29.15
154104,29.13
154212,29.13
154317,29.15
154431,29.13
154539,29.13
154641,29.11
154731,29.06
154836,29.03
154941,29.06
155043,29.07
155145,29.09
155253,29.11
155361,29.01
155469,28.93
155559,28.93
155667,28.88
155775,28.89
155883,28.91
155988,28.96
156090,28.98
156201,28.98
156312,28.97
156408,28.97
156516,29.0
156621,28.98
156729,28.94
156819,28.97
156945,28.97
157032,28.98
157143,28.98
157245,28.97
157365,28.91
157452,28.96
157578,28.96
157662,28.96
157764,28.96
157875,28.96
157980,28.96
158085,28.97
158193,28.96
158313,28.98
158418,28.97
158505,28.98
158616,29.0
158727,28.98
158826,28.97
158937,28.97
159027,28.98
159141,29.0
159246,28.98
159354,28.96
159462,28.91
159564,28.88
159666,28.88
159780,28.84
159888,28.81
159978,28.82
160086,28.81
160191,28.85
160302,28.88
160404,28.89
160518,28.88
160626,28.91
160737,28.86
160830,28.86
160944,28.89
161046,28.93
161148,28.93
161259,28.91
161361,28.93
161472,28.88
161586,28.78
161670,28.78
161787,28.86
161892,28.86
161994,28.88
162102,28.89
162201,28.89
162306,28.89
162411,28.89
162510,28.88
162618,28.89
162723,28.88
162840,28.89
162921,28.89
163032,28.86
163137,28.85
163248,28.85
163350,28.85
163461,28.85
163572,28.85
163674,28.88
163767,28.86
163875,28.88
163983,28.86
164091,28.88
164205,28.88
164310,28.88
164403,28.89
164505,28.85
164607,28.82
164715,28.79
164823,28.79
164937,28.81
165045,28.81
165150,28.79
165243,28.76
165348,28.81
165456,28.81
165567,28.79
165654,28.79
165780,28.82
165885,28.79
165987,28.81
166095,28.81
166203,28.81
166305,28.84
166413,28.84
166518,28.84
166605,28.82
166728,28.84
166833,28.82
166941,28.85
167049,28.86
167148,28.85
167256,28.88
167370,28.85
167472,28.82
167577,28.85
167691,28.85
167799,28.84
167904,28.81
168006,28.84
168108,28.82
168213,28.81
168324,28.82
168435,28.82
168522,28.82
168645,28.84
168750,28.82
168858,28.78
168963,28.79
169065,28.81
169158,28.79
169284,28.81
169386,28.81
169473,28.82
169578,28.79
169686,28.81
169806,28.79
169917,28.81
170001,28.81
170109,28.81
170220,28.7
170331,28.69
170433,28.69
170526,28.75
170640,28.75
170757,28.76
170856,28.76
170967,28.76
171075,28.78
171168,28.78
171288,28.81
171393,28.79
171480,28.75
171582,28.72
171705,28.7
171813,28.72
171903,28.69
172008,28.7
172116,28.69
172230,28.7
172320,28.62
172428,28.66
172533,28.63
172644,28.64
172749,28.67
172860,28.69
172953,28.69
173058,28.7
173166,28.67
173274,28.7
173361,28.7
173469,28.69
173583,28.67
173676,28.7
173787,28.66
173901,28.64
173991,28.64
174099,28.69
174210,28.69
174315,28.67
174426,28.69
174531,28.69
174630,28.66
174738,28.69
174846,28.66
174933,28.69
175044,28.7
175152,28.69
175263,28.7
175356,28.67
175470,28.66
175581,28.67
175689,28.69
175776,28.67
175887,28.59
175995,28.67
176097,28.6
176202,28.66
176307,28.66
176418,28.57
176508,28.64
176613,28.63
176718,28.64
176832,28.64
176940,28.64
177042,28.66
177150,28.66
177234,28.66
177342,28.62
177456,28.63
177564,28.66
177654,28.69
177762,28.7
177873,28.72
177981,28.72
178068,28.74
178176,28.74
178278,28.76
178398,28.76
178494,28.75
178599,28.76
178704,28.78
178815,28.78
178920,28.78
179025,28.78
179127,28.81
179235,28.82
179340,28.81
179442,28.81
179547,28.82
179658,28.82
179745,28.82
179853,28.82
179973,28.84
180060,28.85
180168,28.86
180273,28.89
180399,28.89
180486,28.89
180594,28.89
180705,28.91
180813,28.91
180897,28.93
181008,28.93
181119,28.93
181221,28.93
181332,28.93
181425,28.94
181536,28.96
181638,28.97
181752,28.97
181863,29.0
181968,28.98
182055,29.0
182172,29.01
182277,29.03
182364,29.03
182469,29.01
182583,29.03
182694,29.03
182781,29.03
182895,29.0
183000,29.0
183108,29.01
183198,28.96
183324,28.94
183426,28.93
183519,28.97
183633,29.0
183747,29.03
183849,29.03
183951,29.0
184056,29.01
184146,29.03
184251,29.04
184356,29.03
184464,29.01
184575,29.0
184683,29.01
184776,29.0
184899,28.98
185004,28.98
185091,28.93
185202,28.94
185316,28.96
185409,28.96
185535,28.97
185637,29.0
185745,29.0
185835,29.0
185943,29.0
186054,29.0
186159,29.0
186267,29.0
186357,28.98
186468,28.89
186576,28.86
186675,28.91
186786,28.93
186888,28.94
186987,28.94
187098,28.91
187215,28.86
187323,28.81
187425,28.79
187530,28.79
187635,28.78
187722,28.79
187851,28.79
187941,28.81
188052,28.79
188142,28.81
188253,28.82
188337,28.85
188466,28.84
188556,28.86
188664,28.88
188775,28.86
188880,28.89
188985,28.89
189096,28.89
189207,28.89
189297,28.89
189411,28.86
189519,28.85
189606,28.86
189714,28.89
189819,28.91
189939,28.91
190029,28.89
190137,28.88
190242,28.91
190353,28.91
190461,28.91
190566,28.91
190674,28.89
190779,28.85
190884,28.89
190971,28.88
191076,28.91
191187,28.93
191295,28.93
191403,28.94
191508,28.93
191622,28.96
191712,28.94
191811,28.86
191904,28.94
192033,28.96
192141,28.94
192246,28.96
192351,28.97
192453,28.97
192558,28.98
192669,28.97
192777,28.97
192888,28.93
192978,28.97
193101,28.93
193194,28.96
193305,28.96
193419,28.96
193524,28.89
193632,28.91
193716,28.86
193827,28.86
193932,28.88
194031,28.85
194139,28.78
194253,28.78
194349,28.84
194454,28.84
194562,28.84
194652,28.82
194781,28.81
194871,28.84
194982,28.84
195096,28.81
195198,28.81
195303,28.79
195414,28.74
195519,28.81
195627,28.81
195714,28.82
195828,28.84
195933,28.79
196023,28.82
196137,28.81
196245,28.82
196353,28.75
196458,28.81
196566,28.7
